EmpId,Title,Salary,Benefits,ItemsSold,SalesValue,Avg_Salary,Avg_Benefits,Avg_ItemsSold,Avg_SalesValue,total_benefits,employee_comp,avg_total_benefits,position_comp
E72001456,Sales Associate 2,45304.0,9601.0,51.0,122784.0,47241.82352941176,9551.9375,55.625,109814.82352941176,54905.0,low,56793.76102941176,low
E32003517,Sales Associate 2,47661.0,9227.0,56.0,101276.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56888.0,low,56793.76102941176,low
E33005706,Sales Associate 2,46091.0,9302.0,55.0,119607.0,47241.82352941176,9551.9375,55.625,109814.82352941176,55393.0,low,56793.76102941176,low
E150010517,Sales Associate 2,45518.0,9818.0,61.0,103704.0,47241.82352941176,9551.9375,55.625,109814.82352941176,55336.0,low,56793.76102941176,low
E860012846,Sales Associate 2,46604.0,9787.0,54.0,125418.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56391.0,low,56793.76102941176,low
E810018938,Sales Associate 2,49013.0,9945.0,59.0,103932.0,47241.82352941176,9551.9375,55.625,109814.82352941176,58958.0,high,56793.76102941176,high
E910019346,Sales Associate 2,47213.0,9436.0,55.625,117941.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56649.0,low,56793.76102941176,low
E310020709,Sales Associate 2,47727.0,9372.0,58.0,117302.0,47241.82352941176,9551.9375,55.625,109814.82352941176,57099.0,low,56793.76102941176,low
E970021430,Sales Associate 2,49744.0,9190.0,60.0,102139.0,47241.82352941176,9551.9375,55.625,109814.82352941176,58934.0,high,56793.76102941176,high
E290023865,Sales Associate 2,45217.0,9896.0,53.0,105434.0,47241.82352941176,9551.9375,55.625,109814.82352941176,55113.0,low,56793.76102941176,low
E390027125,Sales Associate 2,49652.0,9612.0,54.0,107306.0,47241.82352941176,9551.9375,55.625,109814.82352941176,59264.0,high,56793.76102941176,high
E310030598,Sales Associate 2,49079.0,9364.0,54.0,105426.0,47241.82352941176,9551.9375,55.625,109814.82352941176,58443.0,high,56793.76102941176,high
E170032825,Sales Associate 2,46259.0,9787.0,51.0,107058.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56046.0,low,56793.76102941176,low
E780036622,Sales Associate 2,46161.0,9603.0,56.0,100045.0,47241.82352941176,9551.9375,55.625,109814.82352941176,55764.0,low,56793.76102941176,low
E160037847,Sales Associate 2,46791.0,9551.9375,51.0,101075.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56342.9375,low,56793.76102941176,low
E620038547,Sales Associate 2,47948.0,9462.0,65.0,101492.0,47241.82352941176,9551.9375,55.625,109814.82352941176,57410.0,low,56793.76102941176,low
E550040815,Sales Associate 2,47129.0,9429.0,52.0,124913.0,47241.82352941176,9551.9375,55.625,109814.82352941176,56558.0,low,56793.76102941176,low
E98002382,Sales Associate 1,36486.15,7238.0,72.0,66631.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43724.15,low,44128.05,low
E68004660,Sales Associate 1,35002.0,7641.9,64.0,81332.0,36486.15,7641.9,73.85714285714286,73533.63157894737,42643.9,low,44128.05,low
E11006417,Sales Associate 1,38935.0,7511.0,83.0,85504.0,36486.15,7641.9,73.85714285714286,73533.63157894737,46446.0,low,44128.05,low
E56009559,Sales Associate 1,36762.0,7965.0,67.0,80606.0,36486.15,7641.9,73.85714285714286,73533.63157894737,44727.0,low,44128.05,low
E270011651,Sales Associate 1,38782.0,7697.0,86.0,73882.0,36486.15,7641.9,73.85714285714286,73533.63157894737,46479.0,low,44128.05,low
E870013660,Sales Associate 1,35554.0,7844.0,72.0,67610.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43398.0,low,44128.05,low
E530014764,Sales Associate 1,35574.0,7639.0,76.0,87269.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43213.0,low,44128.05,low
E390015310,Sales Associate 1,36741.0,7278.0,60.0,66484.0,36486.15,7641.9,73.85714285714286,73533.63157894737,44019.0,low,44128.05,low
E330022880,Sales Associate 1,37586.0,7116.0,70.0,61317.0,36486.15,7641.9,73.85714285714286,73533.63157894737,44702.0,low,44128.05,low
E810024419,Sales Associate 1,36197.0,7446.0,61.0,73533.63157894737,36486.15,7641.9,73.85714285714286,73533.63157894737,43643.0,low,44128.05,low
E620026640,Sales Associate 1,35090.0,7575.0,88.0,80496.0,36486.15,7641.9,73.85714285714286,73533.63157894737,42665.0,low,44128.05,low
E690031860,Sales Associate 1,39081.0,7946.0,70.0,60051.0,36486.15,7641.9,73.85714285714286,73533.63157894737,47027.0,low,44128.05,low
E350034700,Sales Associate 1,37810.0,7952.0,76.0,73533.63157894737,36486.15,7641.9,73.85714285714286,73533.63157894737,45762.0,low,44128.05,low
E840039545,Sales Associate 1,35423.0,7927.0,63.0,89369.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43350.0,low,44128.05,low
E540041221,Sales Associate 1,35205.0,7693.0,90.0,79844.0,36486.15,7641.9,73.85714285714286,73533.63157894737,42898.0,low,44128.05,low
E590042747,Sales Associate 1,35772.0,7513.0,87.0,70770.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43285.0,low,44128.05,low
E980043172,Sales Associate 1,37338.0,7862.0,70.0,69084.0,36486.15,7641.9,73.85714285714286,73533.63157894737,45200.0,low,44128.05,low
E550044865,Sales Associate 1,37030.0,7712.0,89.0,74636.0,36486.15,7641.9,73.85714285714286,73533.63157894737,44742.0,low,44128.05,low
E860045260,Sales Associate 1,35098.0,7192.0,61.0,69281.0,36486.15,7641.9,73.85714285714286,73533.63157894737,42290.0,low,44128.05,low
E630046779,Sales Associate 1,35457.0,7774.0,67.0,60645.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43231.0,low,44128.05,low
E400048551,Sales Associate 1,35286.0,7958.0,79.0,72328.0,36486.15,7641.9,73.85714285714286,73533.63157894737,43244.0,low,44128.05,low
E19007511,Sales Associate 3,62032.0,12222.0,30.0,90081.0,64584.57142857143,12830.625,26.75,101812.625,74254.0,high,77415.19642857142,high
E970016228,Sales Associate 3,68170.0,13594.0,21.0,89006.0,64584.57142857143,12830.625,26.75,101812.625,81764.0,high,77415.19642857142,high
E930025416,Sales Associate 3,61880.0,12029.0,30.0,110274.0,64584.57142857143,12830.625,26.75,101812.625,73909.0,high,77415.19642857142,high
E800028571,Sales Associate 3,60438.0,12245.0,30.0,111094.0,64584.57142857143,12830.625,26.75,101812.625,72683.0,high,77415.19642857142,high
E520029402,Sales Associate 3,69241.0,13165.0,28.0,118140.0,64584.57142857143,12830.625,26.75,101812.625,82406.0,high,77415.19642857142,high
E350033868,Sales Associate 3,61509.0,13998.0,29.0,118701.0,64584.57142857143,12830.625,26.75,101812.625,75507.0,high,77415.19642857142,high
E960035212,Sales Associate 3,64584.57142857143,12291.0,23.0,82956.0,64584.57142857143,12830.625,26.75,101812.625,76875.57142857142,high,77415.19642857142,high
E350050914,Sales Associate 3,68822.0,13101.0,23.0,94249.0,64584.57142857143,12830.625,26.75,101812.625,81923.0,high,77415.19642857142,high
E94008464,Sales Manager,76313.0,17644.0,7.0,66062.0,83995.25,16604.25,7.333333333333333,70931.75,93957.0,high,100599.5,high
E220017410,Sales Manager,85303.0,16000.0,7.0,51427.0,83995.25,16604.25,7.333333333333333,70931.75,101303.0,high,100599.5,high
E760047734,Sales Manager,89077.0,16902.0,8.0,111445.0,83995.25,16604.25,7.333333333333333,70931.75,105979.0,high,100599.5,high
E870049796,Sales Manager,85288.0,15871.0,7.333333333333333,54793.0,83995.25,16604.25,7.333333333333333,70931.75,101159.0,high,100599.5,high
